species,month,breeding_season,breeding_peak,activity_level,threat_level,migration_tendency,weather_preference,primary_behavior,population_peak
Tiger,1,1,0,normal,moderate,territorial,cool_dry,breeding,0
Tiger,2,1,0,normal,moderate,territorial,cool_dry,breeding,0
Tiger,3,0,0,high,low,territorial,cool_dry,territorial_marking,0
Tiger,4,0,0,high,low,territorial,cool_dry,hunting_peak,1
Tiger,5,0,0,normal,low,territorial,cool_dry,normal_activity,0
Tiger,6,0,0,low,high,territorial,cool_dry,heat_avoidance,0
Tiger,7,0,0,low,high,territorial,cool_dry,heat_avoidance,0
Tiger,8,0,0,low,high,territorial,cool_dry,monsoon_adaptation,0
Tiger,9,0,0,high,low,territorial,cool_dry,increased_activity,0
Tiger,10,0,0,high,low,territorial,cool_dry,territorial_expansion,1
Tiger,11,1,0,normal,moderate,territorial,cool_dry,pre_breeding,0
Tiger,12,1,1,normal,moderate,territorial,cool_dry,breeding_peak,0
Elephant,1,0,0,low,high,seasonal,moderate_wet,dry_season_survival,0
Elephant,2,0,0,low,high,seasonal,moderate_wet,water_source_congregation,0
Elephant,3,0,0,normal,moderate,seasonal,moderate_wet,pre_monsoon_movement,0
Elephant,4,0,0,high,low,seasonal,moderate_wet,foraging_intensive,0
Elephant,5,0,0,high,low,seasonal,moderate_wet,social_gathering,0
Elephant,6,1,0,high,low,seasonal,moderate_wet,breeding_preparation,0
Elephant,7,1,1,normal,low,seasonal,moderate_wet,breeding_peak,1
Elephant,8,1,0,normal,low,seasonal,moderate_wet,breeding_active,0
Elephant,9,1,0,normal,moderate,seasonal,moderate_wet,post_breeding_care,0
Elephant,10,0,0,high,low,seasonal,moderate_wet,feeding_intensive,1
Elephant,11,0,0,high,moderate,seasonal,moderate_wet,social_bonding,0
Elephant,12,0,0,low,high,seasonal,moderate_wet,dry_season_preparation,0
Leopard,1,1,0,high,low,opportunistic,cool_moderate,breeding_active,0
Leopard,2,1,1,high,low,opportunistic,cool_moderate,breeding_peak,1
Leopard,3,0,0,high,low,opportunistic,cool_moderate,territorial_defense,0
Leopard,4,0,0,normal,moderate,opportunistic,cool_moderate,hunting_adaptation,0
Leopard,5,1,0,normal,moderate,opportunistic,cool_moderate,secondary_breeding,0
